Session Number,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title ,Staff scenario body,Staff scenario body #2 (negation scenarios only),Staff comprehension question,Staff correct response,Staff incorrect response,Staff photo link,Letters Missing,Occurrence
,2 (666),Resilience/Negation,Mental Health,Social Situations,,Driving flashback,"You are driving to a friend's house in the town you previously lived in. When you arrive at the entrance, you have a strong flashback to when you used to visit this house many years back. You start to feel anxious about being disoriented, and you decide that what you will do about these feelings is to just let them pass.",N/A,"When you feel disoriented, it is helpful to ...",Simply observe and accept the feelings.,Get anxious about feeling disoriented.,https://drive.google.com/file/d/111tmTqhti30waD2ToHBnhDXMWZr6Fiv3/view?usp=sharing,all,3
,3 (493),Positive ,Mental Health,Academics/Work/Career Development,,Being in Charge,"You recently were elected to be in charge of a group of people new to your job. When you meet the other people in charge of groups, you feel as though you didn't work as hard as they did, and don't deserve this position. You take a minute to think about what you give to your job, and realize that you've been giving all you could, and people definitely noticed this.",N/A,Do you feel like you deserve your position in your job?,Yes,,https://drive.google.com/file/d/1cCdFnGwW1dNBLOO7cPWVry3DULHFtlcc/view?usp=sharing,all,3
,4 (291),Positive ,Mental Health,Family & Home Life ,,Monday Phone Call,"Every Monday you call your parent to say hello. Today is Monday, and they did not pick up the phone when you called, which is unusual. Your parent probably did not answer the phone because they are busy.",N/A,Is your parent unable to talk because they are ill?,No,,https://drive.google.com/file/d/1VKdf9frnu773HFSGrvavtdHyGsg0A04S/view?usp=sharing,all,3
,5 (232),Negative,Mental Health,Family & Home Life,,Heading out of Town,"You are heading out of town for a few days. You decide to double-check that all the appliances in your house are turned off. As you close the door to your house, you feel nervous.",N/A,Are you worried about whether you turned off everything in the house? ,Yes,,https://drive.google.com/file/d/11L0gcPPltGMNDtkc_O6wRZAj_WWsbX7o/view?usp=sharing,all,3
,6 (499),Positive ,Mental Health,Academics/Work/Career Development,,Presenting your Work,"You've been working hard all year on a project and your your department head has invited you to talk about it at an event. A lot of your friends and coworkers will be there, and you don't think your work will be enough to impress them. You think that your department head invited you for a reason and your work is worth seeing.",N/A,Will your work impress the people at the event?,Yes,,https://drive.google.com/file/d/16uno5Nefcm3awk1lVSEJ8eocgzjkR5B0/view?usp=sharing,all,3
,7 (549),Resilience/Negation,Mental Health,,,Your Bowling Skills,"You have been bowling in a recreational league with some friends for the past few years. You have improved since you started, but you aren't as skilled as you would like to be yet.","When you think about yourself in the years to come you don't think your bowling skills will have plateaued, and you see your bowling skills as strong.",Do you think you will end up bowling at a high level?,Yes,No,https://drive.google.com/file/d/1oSLgkDZVNtoSTo-1lqoKPGD_AvvZLCdO/view?usp=sharing,all,3
,8 (264),Positive ,Mental Health,Social Situations,,Picture with Friends,"You and your friend took some pictures together. You look through your feed and see that they tagged you in a post and you really don't like how you look. But, you know that in the long run it won't matter.",N/A,Are you worried about your appearence in the posted picture?,No,,https://drive.google.com/file/d/1NvTM1g3vx1Kut8y_4vvBJo79qKHzUztk/view?usp=sharing,all,3
,9 (673),Positive,Mental Health,,,Trying Different Foods ,"You and your colleagues are at a restaurant. While your colleagues all order the same dish, you want to order something different and adventurous, but you're worried that they'll think it's weird or gross. You decide to order the dish anyways, and enjoy the new flavors.",N/A,Should you avoid trying new foods because your colleagues are not ordering it?,No,,https://drive.google.com/file/d/1s0nfHtbZGDMXBuEXJ9FB0ljT-8ykR7hx/view?usp=sharing,all,3
,10 (455),Positive,Mental Health,,,Truthful Texting,"You got someone's number from a dating app and have been texting them back and forth for a few days now. You do not feel very interested in them, but they text you today saying that they are extremely interested in you and want to meet up for a date and you are worried they will be angry if you decline their offer. You decide to be truthful about not feeling the same and tell them you do not see your relationship going any further.",N/A,Are you happy with your response?,Yes,,https://drive.google.com/file/d/1XmEF3Y_EVn1lonn_hWKIbtSjgRFn_dbg/view?usp=sharing,all,3
20,1 (504),Positive ,Mental Health,Academics/Work/Career Development,,Applying to Jobs,"You applied to a job a few weeks ago and just got a response. They tell you they already filled the position, and you feel like you are not smart enough. You think that in the future, you will get a job.",N/A,Will you be offered another job in the future?,Yes,,https://drive.google.com/file/d/12wCJ5Ffbo2FQWJoyCCjGdJUCGOFpqs8y/view?usp=sharing,all,3
,2 (445),Positive ,Mental Health,,,Your Own Style,"You made plans with a group of friends to go out to dinner on a Friday night. When they come to pick you up, you see that they are dressed casually, but you decided to dress up a bit, and you think they might judge you. You decide that you like what you're wearing, and go to dinner happy. ",N/A,Do you change your outfit because of what your friends are wearing?,No,,https://drive.google.com/file/d/12vpSXXIvh5O51Xf7jc-cr6cnonOEz7zw/view?usp=sharing,all,3
,3 (491),Negative ,Mental Health,Academics/Work/Career Development ,,Balancing Tasks,"You been very busy this semester and haven't had the time to work on your own career development. One of your colleagues is also very busy, and yet they received a promotion. This makes you feel like a failure.  ",N/A,Should you be working harder?,Yes,,https://drive.google.com/file/d/1oLL_xLzI-U5_qMJYXQBLx1YoawU0rB1s/view?usp=sharing,all,3
,4 (218),Positive,Mental Health,Finances,,Treating Yourself,"You've had a lot going on recently, and haven't felt like yourself. You want to treat yourself to something you enjoy, but you aren't sure you have room in your budget. You decide to buy yourself something small that you can definitely afford.",,Are you able to treat yourself?,Yes,No,https://drive.google.com/file/d/1zr-ojLmvOUbAd2xJRvcq3QG2d7z_oRgu/view?usp=sharing,all,3
,5 (457),Resilience/Negation,Mental Health,,,New Style,"You go shopping at your favorite clothes store. You see an outfit that you love but do not believe it is right for your body type. After you get it and try it on, you want to buy it despite it not being something you typically wear. ","After battling with yourself in the dressing room, you find yourself feeling confident and wanting to wear it out so you purchase the new outfit.",Are you excited to wear your outfit to a party?,Yes,,https://drive.google.com/file/d/1JigHUpLu2fn945h0hTvVgiO8e2TV0Uue/view?usp=sharing,all,3
,6 (505),Positive ,Mental Health,,,Feeling Numb,You have been dealing with some stressful situations recently. You are reflecting on the past few weeks and realize you haven't been very emotional which makes you think you've become numb. You remember that you've been coping well and likely have just kept your emotions stable.,N/A,Are you depressed?,No,,https://drive.google.com/file/d/1lb5unRFMzlCZwR4qVYPDwPXdw7evicTa/view?usp=sharing,all,3
,7 (299),Positive,Mental Health,Social Situations,,A Rude Comment,You post a picture you are really confident about. You see a really rude comment as you go back to check your comments. You take a deep breath and decide not to feel bothered.,N/A,Do you get really upset about the rude comment on your post?,No,,https://drive.google.com/file/d/1RkgHCc_BENHGzRjkp5-Y-7TvU7m58if8/view?usp=sharing,all,3
,8 (672),Resilience/Negation,Mental Health,Physical Health,,Monday Morning ,"It's Monday morning and you are hurrying to your car to go to a meeting. You feel your heart racing as you open the car door and sit down. Fearing that you might have a panic attack, you have a strong urge to get out of the car, and yet you decide to observe these sensations without reacting and stay seated.",N/A,Is it necessary to get out of the car because you feel your heart beating rapidly?,No,,https://drive.google.com/file/d/1ho3hNNuBsI2_uM04efw2daW5FzUWG_Qk/view?usp=sharing,all,3
,9 (159),Positive ,Mental Health,Romantic Relationships,,Awkward Conversations,"You invited your spouse to hang out with you and your friends so everyone could get to know each other. As it got later, your spouse brought up a controversial topic and your friends seemed unsure about how to respond. You know that your friends recognize that many people, including you and your spouse, have different opinions.",N/A,Will your friends judge you because of your spouse?,No,Yes,https://drive.google.com/file/d/1pYBPEve_C1A0Zcgr6watuakBnO3MOszX/view?usp=sharing,all,3
,10 (324),Positive,Mental Health,Family & Home Life,,Opposing Opinions ,"Your family has strong opinions that you don't always agree with. As you listen to your family talk, you feel that you are pretty different from them. You feel having your own unique views is okay.",N/A,Is it alright to have different views from your family? ,Yes,,https://drive.google.com/file/d/1z-OZ5Wr0EatO5q1bpsB0G3Xv11wj5Z46/view?usp=sharing,all,3
21,1 (376),Positive,Mental Health,Social Situations,,Having People Over,"You notice your home is smaller and not as spacious as the homes of others that you know. Your coworkers have never been to your place, but want to come over. You think their reaction to your home will be respectful.",,Will your coworkers judge your home?,No,,https://drive.google.com/file/d/1cta4lpPhoahfL1nlRrl3fYCs86bhsNjd/view?usp=sharing,all,3
,2 (490),Positive ,Mental Health,Academics/Work/Career Development,,Unfinished Work ,"You had a very busy day, and were not able to get all of your tasks done. At dinner, your partner brags about how they finished everything on their to-do list. Thinking about whether you can complete your work tomorrow, you feel confident.",N/A,Will you get everything done?,Yes,,https://drive.google.com/file/d/1b4FsJv5cKIMQtEO-gCgq-Ezc9XEaINoP/view?usp=sharing,all,3
,3 (517),Resilience/Negation,Mental Health,,,Intrusive Thoughts,"Recently, you've noticed that you are having intrusive thoughts. These thoughts are disturbing to you, and you cannot believe that you are thinking such horrible things. You think that you are going crazy. ","After a while, you realize that they are just thoughts, and that they don't mean anything about you as a person. You think that you are not going crazy, and that you are a good person. ",Are you a bad person?,No,,https://drive.google.com/file/d/1lb5unRFMzlCZwR4qVYPDwPXdw7evicTa/view?usp=sharing,all,3
